SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
168;Ecole primaire;13 RUE DE PARIS;28410;GOUSSAINVILLE;;0237432208
169;Ecole élémentaire;RUE DES GROUETTES;28260;GUAINVILLE;;0237640315
170;Ecole primaire - Emmanuel Cheneau;13 RUE DES GRANGES;28130;HANCHES;;0237836750
171;Ecole élémentaire;14 RUE DE L’ECOLE;28480;HAPPONVILLIERS;;0237295753
172;Ecole élémentaire;19 GRANDE RUE;28700;HOUVILLE-LA-BRANCHE;;0237257110
173;Ecole élémentaire - La Vivonne;3 RUE DE BREHAINVILLE;28120;ILLIERS-COMBRAY;;0237240113
174;Ecole maternelle - Les Nymphéas;36 AVENUE DU GENERAL DE GAULLE;28120;ILLIERS-COMBRAY;;0237240236
175;Ecole primaire;14 RUE DE LA REPUBLIQUE;28200;JALLANS;;0237459458
176;Ecole maternelle - Le Petit Prince;19 bis RUE DE LA MADELEINE;28310;JANVILLE;;0237902562
177;Ecole élémentaire;12 RUE DES 50 MINES;28310;JANVILLE;;0237900291
178;Ecole primaire - Aimé Allouis;RUE DE LA CHAPELLE;28300;JOUY;;0237223037
179;Ecole primaire;10 ROUTE D’AUTHON;28330;LA BAZOCHE-GOUET;;0237493410
180;Ecole primaire - La Varenne Ferron;15 RUE DU CHANT PINSON;28200;LA CHAPELLE-DU-NOYER;;0237450882
181;Ecole élémentaire;RUE DE PACY;28260;LA CHAUSSEE-D’IVRY;;0237645466
182;Ecole primaire;14,16 AVENUE DU GENERAL LECLERC;28340;LA FERTE-VIDAME;;0237376414
183;Ecole élémentaire;9 RUE NATIONALE;28220;LA FERTE-VILLENEUIL;;0237441232
184;Ecole maternelle;6 RUE ETIENNE ACHAVANNE;28250;LA FRAMBOISIERE;;0237378443
185;Ecole maternelle - Les écureuils;RESIDENCE JEAN MOULIN;28240;LA LOUPE;;0237810146
186;Ecole élémentaire - Rolland Garros;RUE GUYNEMER;28240;LA LOUPE;;0237811253
187;Ecole élémentaire;LA PUISAYE;28250;LA PUISAYE;;0237375144
188;Ecole primaire;5 RUE DE LA MAIRIE;28190;LANDELLES;;0237237016
189;Ecole élémentaire;7 PLACE DE L’EGLISE;28220;LANGEY;;0237982048
190;Ecole élémentaire;11 RUE DE LA MAIRIE;28200;LANNERAY;;0237961244
191;Ecole élémentaire;RUE DU BOURGNEUF;28270;LAONS;;0237381029
192;Ecole primaire;7 PLACE DU CHATEAU;28210;LE BOULLAY-THIERRY;;0237383565
193;Ecole élémentaire - Jules Verne;12 RUE DES GAGES;28630;LE COUDRAY;;0237907945
194;Ecole maternelle - Léonard de Vinci;RUE DES CHAISES;28630;LE COUDRAY;;0237283410
195;Ecole primaire;15 RUE JULES FERRY;28800;LE GAULT-ST-DENIS;;0237474436
196;Ecole primaire;19 RUE DE LA MAIRIE;28700;LE GUE-DE-LONGROI;;0237310618
197;Ecole maternelle;2 RUE DE LA MAIRIE;28220;LE MEE;;0237441552
198;Ecole élémentaire;3 RUE DE LA LIBERATION;28260;LE MESNIL-SIMON;;0237640579
199;Ecole primaire - Mesnil-Thomas-Jaudrais;98 RUE DE LA MAIRIE;28250;LE MESNIL-THOMAS;;0237378612
200;Ecole primaire;2 RUE DU LAVOIR;28240;LE THIEULIN;;0237498915
201;Ecole élémentaire;11 RUE DU PERCHE ET DE LA BEAUCE;28240;LES CORVEES-LES-YYS;;0237526218
202;Ecole maternelle - Jean-Pierre Reschœur;1 RUE ANTOINE DE SAINT-EXUPERY;28300;LEVES;;0237211716
203;Ecole élémentaire - Jules Vallain;41 AVENUE DE LA PAIX;28300;LEVES;;0237214653
204;Ecole primaire;3 RUE ST MARTIN;28200;LOGRON;;0237989202
205;Ecole primaire - Jean Jaures;1 RUE DES ECOLES;28110;LUCE;;0237352101
206;Ecole élémentaire - Jean Macé;9 RUE DE ROME;28110;LUCE;;0237351949
207;Ecole élémentaire - Jean Zay;1 RUE HENRI DUNANT;28110;LUCE;;0237355636
208;Ecole élémentaire - Jules Ferry;4 RUE PASTEUR;28110;LUCE;;0237355406
209;Ecole maternelle - Les Béguines;3 RUE D’ALSACE;28110;LUCE;;0237341392
210;Ecole maternelle - Les Hayes;9 BIS RUE DE ROME;28110;LUCE;;0237354063
211;Ecole maternelle - Les Lutins;16 RUE ROBERT SCHUMAN;28110;LUCE;;0237355612
212;Ecole maternelle - Maurice Viollette;1 RUE CHARLES BRUNE BP 143;28110;LUCE;;0237352300
213;Ecole élémentaire - Mendes France;14 RUE DE NORMANDIE;28110;LUCE;;0237287980
